iso3,country_name,region,Y,F2_Ally,F2_Dist,F2_Bases,F3_BRI,F3_RCEP,F4_301,F4_Stance,EU_in_sample,F1_Surplus_B,F1_ExpDep,F1_FX_Watch,F1_Lobby_M,F2_UNVote,F2_Polity,F3_ChinaDep,F3_TiVA,F2_Rival,F4_Retaliate
LSO,Lesotho,Africa,50.0,0,13179.4,0,1,0,0,2,0,,,,,,,,,0,0
KHM,Cambodia,Asia,49.0,0,14398.6,0,1,1,0,2,0,,,,,,,,,0,0
LAO,Laos,Asia,48.0,0,13690.5,0,1,1,0,2,0,,,,,,,,,0,0
MDG,Madagascar,Africa,47.0,0,14278.9,0,1,0,0,2,0,,,,,,,,,0,0
VNM,Vietnam,Asia,46.0,0,13343.6,0,1,1,1,2,0,,,,,,,,,0,0
LKA,Sri Lanka,Asia,44.0,0,14388.3,0,1,0,0,2,0,,,,,,,,,0,0
MMR,Myanmar,Asia,44.0,0,13449.9,0,1,1,0,2,0,,,,,,,,,0,0
MUS,Mauritius,Africa,40.0,0,15209.9,0,0,0,0,2,0,,,,,,,,,0,0
IRQ,Iraq,MiddleEast,39.0,0,9968.5,0,1,0,0,2,0,,,,,,,,,0,0
GUY,Guyana,Americas,38.0,0,4041.5,0,0,0,0,2,0,,,,,,,,,0,0
BGD,Bangladesh,Asia,37.0,0,12929.7,0,1,0,0,3,0,,,,,,,,,0,0
BWA,Botswana,Africa,37.0,0,12771.9,0,1,0,0,2,0,,,,,,,,,0,0
SRB,Serbia,Europe,37.0,0,7589.4,0,1,0,0,2,0,,,,,,,,,0,0
THA,Thailand,Asia,36.0,0,14154.4,0,1,1,1,2,0,,,,,,,,,0,0
HND,Honduras,Americas,35.0,0,2933.4,0,0,0,0,2,0,,,,,,,,,0,0
CHN,China,Asia,34.0,0,11145.2,0,1,1,1,1,0,,,,,,,,,1,1
TWN,Taiwan,Asia,32.0,0,12645.9,0,0,0,0,3,0,,,,,,,,,0,0
IDN,Indonesia,Asia,32.0,0,16358.4,0,1,1,1,2,0,,,,,,,,,0,0
AGO,Angola,Africa,32.0,0,10647.2,0,1,0,0,2,0,,,,,,,,,0,0
CHE,Switzerland,Europe,31.0,0,6597.9,0,0,0,0,2,0,,,,,,,,,0,0
LBY,Libya,MiddleEast,31.0,0,7808.3,0,1,0,0,2,0,,,,,,,,,0,0
MDA,Moldova,Europe,31.0,0,7972.1,0,1,0,0,2,0,,,,,,,,,0,0
ZAF,South Africa,Africa,30.0,0,13030.3,0,1,0,0,3,0,,,,,,,,,0,0
DZA,Algeria,Africa,30.0,0,6796.5,0,1,0,1,2,0,,,,,,,,,0,0
PAK,Pakistan,Asia,29.0,0,11371.3,0,1,0,1,2,0,,,,,,,,,0,0
TUN,Tunisia,Africa,28.0,0,7338.7,0,1,0,1,2,0,,,,,,,,,0,0
KAZ,Kazakhstan,Asia,27.0,0,9539.1,0,1,0,1,2,0,,,,,,,,,0,0
IND,India,Asia,26.0,0,12046.2,0,0,0,1,2,0,,,,,,,,,0,0
KOR,South Korea,Asia,25.0,1,11163.4,28,0,1,0,3,0,,,,,,,,,0,0
JPN,Japan,Asia,24.0,1,10903.4,120,0,1,0,3,0,,,,,,,,,0,0
MYS,Malaysia,Asia,24.0,0,15337.8,0,1,1,1,2,0,,,,,,,,,0,0
NAM,Namibia,Africa,21.0,0,11899.0,0,1,0,0,2,0,,,,,,,,,0,0
CIV,Ivory Coast,Africa,21.0,0,7956.1,0,1,0,0,2,0,,,,,,,,,0,0
DEU,Germany,Europe,20.0,1,6709.9,119,0,0,0,2,1,,,,,,,,,0,1
FRA,France,Europe,20.0,1,6164.9,0,0,0,0,2,1,,,,,,,,,0,1
ITA,Italy,Europe,20.0,1,7215.7,14,1,0,0,2,1,,,,,,,,,0,1
ESP,Spain,Europe,20.0,1,6088.3,0,0,0,0,2,1,,,,,,,,,0,1
NLD,Netherlands,Europe,20.0,1,6189.5,0,0,0,0,2,1,,,,,,,,,0,1
BEL,Belgium,Europe,20.0,1,6215.8,1,0,0,0,2,1,,,,,,,,,0,1
POL,Poland,Europe,20.0,1,7177.5,1,0,0,0,2,1,,,,,,,,,0,1
SWE,Sweden,Europe,20.0,1,6635.8,0,0,0,0,2,1,,,,,,,,,0,1
AUT,Austria,Europe,20.0,0,7122.9,0,0,0,0,2,1,,,,,,,,,0,1
DNK,Denmark,Europe,20.0,1,6510.7,0,0,0,0,2,1,,,,,,,,,0,1
FIN,Finland,Europe,20.0,1,6929.3,0,0,0,0,2,1,,,,,,,,,0,1
IRL,Ireland,Europe,20.0,0,5443.2,0,0,0,0,2,1,,,,,,,,,0,1
PRT,Portugal,Europe,20.0,1,5736.3,0,1,0,0,2,1,,,,,,,,,0,1
