ISO3,Country_EN,Country_CN,M49,WB_Population,WB_Inflation,GTA_USHit_Count,F3_RCEP,F3_BRI,F2_Ally,F2_Rival,F5_NME,F5_FTA,F1_FX_Watch,F1_FX_Manip,F5_301,F2_Dist,F5_WTO,WB_TradeGDP,WB_GDP_USD,WB_Remittances
AFG,Afghanistan,阿富汗,004,42647492.0,-6.60118564073726,0,0,1,0,0,0,0,0,0,0,11232,1,,,
ALB,Albania,阿尔巴尼亚,008,2377128.0,2.21587375089999,0,0,1,1,0,1,0,0,0,0,8558,1,79.4546360752224,27046429296.6673,1631157093.65749
DZA,Algeria,阿尔及利亚,012,46814308.0,4.04611455313434,0,0,1,0,0,0,0,0,0,0,7040,1,40.1345741170703,269322281664.773,2446873556.17238
AGO,Angola,安哥拉,024,37885849.0,28.2404948915772,0,0,1,0,0,0,0,0,0,0,10971,1,50.8422305562091,100998916781.079,22365933.24854
ARG,Argentina,阿根廷,032,45696159.0,219.883929014578,0,0,0,0,0,0,0,0,0,1,9085,1,27.929760849367,638365455340.04,3891388544.96361
ARM,Armenia,亚美尼亚,051,3033500.0,0.269511978259125,0,0,1,0,0,1,0,0,0,0,9607,1,150.064726588742,25955275380.0321,1297099531.91661
AUS,Australia,澳大利亚,036,27196812.0,3.1616142830575,0,1,0,1,0,0,1,0,0,0,16233,1,47.1453811065195,1757022451652.83,9863824560.84156
AUT,Austria,奥地利,040,9177982.0,2.93791574279383,0,0,1,0,0,0,0,0,0,0,7338,1,108.825777834405,534790720466.822,9186681052.92225
AZE,Azerbaijan,阿塞拜疆,031,10202830.0,2.21217188919901,0,0,1,0,0,1,0,0,0,0,9405,1,82.6898691594703,74315882352.9412,1246543000.0
BGD,Bangladesh,孟加拉国,050,173562364.0,10.4657482763412,0,0,1,0,0,0,0,0,0,0,13026,1,26.7780758040478,450119432068.852,27909910161.7513
BLR,Belarus,白俄罗斯,112,9132629.0,5.78531910427999,0,0,1,0,1,1,0,0,0,0,8013,1,131.91792910245,75961865471.9129,3026506710.94
BEL,Belgium,比利时,056,11858610.0,3.14349136500041,0,0,1,1,0,0,0,0,0,0,6450,1,158.931826338067,671370081636.406,26978889784.1635
BEN,Benin,贝宁,204,14462724.0,1.16093089640415,0,0,1,0,0,0,0,0,0,0,8800,1,40.6398022401523,21482643706.4249,
BOL,Bolivia,玻利维亚,068,12413315.0,5.09976568317427,0,0,1,0,0,0,0,0,0,0,7200,1,46.9778716148403,54881327452.9667,1378279491.18084
BIH,Bosnia & Herzegovina,波黑,070,3164253.0,1.69212733599724,0,0,1,0,0,0,0,0,0,0,8400,1,95.1562957108171,29613572022.8993,3397041184.52267
BRA,Brazil,巴西,076,211998573.0,4.36746407652337,0,0,0,0,0,0,0,0,0,0,7715,1,35.5845239385389,2185821648943.86,15157057925.41
