iso3,total_exp_B,china_exp_B,day2_year_total,day2_year_china,F1_ExpDep,F3_ChinaDep,day2_note,updated_at
LSO,0.8997,0.0,2022,2022,,0.0,Total:2022 | China:2022,2026-03-15 16:36:46
KHM,20.5758,1.2406,2022,2022,,0.0603,Total:2022 | China:2022,2026-03-15 16:36:51
LAO,19.1278,4.8916,2022,2022,,0.2557,Total:2022 | China:2022,2026-03-15 16:36:56
MDG,10.4106,4.1444,2022,2022,,0.3981,Total:2022 | China:2022,2026-03-15 16:37:01
VNM,741.8183,115.3556,2022,2022,,0.1555,Total:2022 | China:2022,2026-03-15 16:37:08
LKA,13.5921,0.2714,2022,2022,,0.02,Total:2022 | China:2022,2026-03-15 16:37:13
MMR,68.3381,14.7493,2022,2022,,0.2158,Total:2022 | China:2022,2026-03-15 16:37:20
MUS,7.5224,0.0619,2022,2022,,0.0082,Total:2022 | China:2022,2026-03-15 16:37:26
IRQ,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:38:45
GUY,90.2494,2.5307,2022,2022,,0.028,Total:2022 | China:2022,2026-03-15 16:38:49
BGD,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:39:04
BWA,16.8296,0.5177,2022,2022,,0.0308,Total:2022 | China:2022,2026-03-15 16:39:12
SRB,116.238,4.666,2022,2022,,0.0401,Total:2022 | China:2022,2026-03-15 16:39:18
THA,869.5574,137.7204,2022,2022,,0.1584,Total:2022 | China:2022,2026-03-15 16:39:27
HND,4.9759,0.0085,2021,2021,,0.0017,Total:2021 | China:2021,2026-03-15 16:39:38
CHN,3593.6014,,2022,N/A,,,Total:2022 | China:N/A,2026-03-15 16:41:29
TWN,477.8167,120.6301,2022,2022,,0.2525,Total:2022 | China:2022,2026-03-15 16:41:34
IDN,584.3734,131.8595,2022,2022,,0.2256,Total:2022 | China:2022,2026-03-15 16:41:39
AGO,102.5499,43.8101,2022,2022,,0.4272,Total:2022 | China:2022,2026-03-15 16:41:45
CHE,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:41:57
LBY,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:42:09
MDA,17.3286,0.0391,2022,2022,,0.0023,Total:2022 | China:2022,2026-03-15 16:43:19
ZAF,486.4651,46.7798,2022,2022,,0.0962,Total:2022 | China:2022,2026-03-15 16:43:24
DZA,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:43:38
PAK,30.7691,2.528,2022,2022,,0.0822,Total:2022 | China:2022,2026-03-15 16:43:45
TUN,18.5454,0.0429,2022,2022,,0.0023,Total:2022 | China:2022,2026-03-15 16:43:49
KAZ,152.2796,20.9235,2022,2022,,0.1374,Total:2022 | China:2022,2026-03-15 16:43:54
IND,,,N/A,N/A,,,Total:N/A | China:N/A,2026-03-15 16:45:11
KOR,683.5509,155.7894,2022,2022,,0.2279,Total:2022 | China:2022,2026-03-15 16:45:17
JPN,746.6721,144.5391,2022,2022,,0.1936,Total:2022 | China:2022,2026-03-15 16:45:22
MYS,704.3763,95.686,2022,2022,,0.1358,Total:2022 | China:2022,2026-03-15 16:45:27
NAM,23.3129,2.8782,2022,2022,,0.1235,Total:2022 | China:2022,2026-03-15 16:45:31
CIV,16.4287,0.6912,2022,2022,,0.0421,Total:2022 | China:2022,2026-03-15 16:45:36
DEU,13566.4535,911.7752,2022,2022,,0.0672,Total:2022 | China:2022,2026-03-15 16:45:43
FRA,1388.0676,102.5071,2022,2022,,0.0738,Total:2022 | China:2022,2026-03-15 16:45:49
ITA,659.3872,17.2906,2022,2022,,0.0262,Total:2022 | China:2022,2026-03-15 16:45:54
ESP,3111.8251,66.4955,2022,2022,,0.0214,Total:2022 | China:2022,2026-03-15 16:46:05
NLD,768.2593,15.4578,2022,2022,,0.0201,Total:2022 | China:2022,2026-03-15 16:47:15
BEL,463.7821,6.3221,2022,2022,,0.0136,Total:2022 | China:2022,2026-03-15 16:47:20
POL,365.7507,3.1452,2022,2022,,0.0086,Total:2022 | China:2022,2026-03-15 16:47:25
SWE,395.0556,14.0003,2022,2022,,0.0354,Total:2022 | China:2022,2026-03-15 16:47:30
AUT,203.7532,5.5405,2022,2022,,0.0272,Total:2022 | China:2022,2026-03-15 16:47:35
DNK,121.8329,3.4636,2022,2022,,0.0284,Total:2022 | China:2022,2026-03-15 16:47:40
FIN,172.4565,8.0864,2022,2022,,0.0469,Total:2022 | China:2022,2026-03-15 16:47:46
IRL,219.8367,13.9202,2022,2022,,0.0633,Total:2022 | China:2022,2026-03-15 16:47:51
PRT,249.9569,5.3253,2022,2022,,0.0213,Total:2022 | China:2022,2026-03-15 16:47:56
GRC,115.136,0.8587,2022,2022,,0.0075,Total:2022 | China:2022,2026-03-15 16:48:01
CZE,483.3783,5.4467,2022,2022,,0.0113,Total:2022 | China:2022,2026-03-15 16:49:11
HUN,599.7365,9.1649,2022,2022,,0.0153,Total:2022 | China:2022,2026-03-15 16:49:16
ROU,193.6592,2.2981,2022,2022,,0.0119,Total:2022 | China:2022,2026-03-15 16:49:20
SVK,432.9536,10.9875,2022,2022,,0.0254,Total:2022 | China:2022,2026-03-15 16:49:25
BGR,201.0011,3.301,2022,2022,,0.0164,Total:2022 | China:2022,2026-03-15 16:49:30
HRV,25.383,0.0911,2022,2022,,0.0036,Total:2022 | China:2022,2026-03-15 16:49:36
JOR,12.7798,0.2708,2022,2022,,0.0212,Total:2022 | China:2022,2026-03-15 16:49:41
ZWE,6.5862,0.5828,2022,2022,,0.0885,Total:2022 | China:2022,2026-03-15 16:49:46
RWA,2.0193,0.0968,2022,2022,,0.0479,Total:2022 | China:2022,2026-03-15 16:49:50
NIC,7.3598,0.0152,2022,2022,,0.0021,Total:2022 | China:2022,2026-03-15 16:49:55
ISR,72.5689,4.6313,2022,2022,,0.0638,Total:2022 | China:2022,2026-03-15 16:51:05
PHL,78.9285,10.9658,2022,2022,,0.1389,Total:2022 | China:2022,2026-03-15 16:51:10
MWI,0.8997,0.0226,2022,2022,,0.0251,Total:2022 | China:2022,2026-03-15 16:51:14
