iso3,source_task,year,US_imp_B_2023,US_exp_B_2023,F1_Surplus_B,source,updated_at,note
LSO,DAY1_US_bilateral_trade,2023,0.2313,0.0033,0.228,UN Comtrade DAY1 2023,2026-03-14 10:26:58,
KHM,DAY1_US_bilateral_trade,2023,12.1275,0.3053,11.8222,UN Comtrade DAY1 2023,2026-03-14 10:27:03,
LAO,DAY1_US_bilateral_trade,2023,0.3147,0.0466,0.2681,UN Comtrade DAY1 2023,2026-03-14 10:27:08,
MDG,DAY1_US_bilateral_trade,2023,0.7374,0.0616,0.6758,UN Comtrade DAY1 2023,2026-03-14 10:27:12,
VNM,DAY1_US_bilateral_trade,2023,118.9401,9.8116,109.1285,UN Comtrade DAY1 2023,2026-03-14 10:27:16,
LKA,DAY1_US_bilateral_trade,2023,2.9761,0.3662,2.6099,UN Comtrade DAY1 2023,2026-03-14 10:27:20,
MMR,DAY1_US_bilateral_trade,2023,0.9014,0.1715,0.7299,UN Comtrade DAY1 2023,2026-03-14 10:27:25,
MUS,DAY1_US_bilateral_trade,2023,0.2994,0.0911,0.2083,UN Comtrade DAY1 2023,2026-03-14 10:27:29,
IRQ,DAY1_US_bilateral_trade,2023,8.9415,2.2585,6.683,UN Comtrade DAY1 2023,2026-03-14 10:27:34,
GUY,DAY1_US_bilateral_trade,2023,3.369,1.368,2.001,UN Comtrade DAY1 2023,2026-03-14 10:27:39,
BGD,DAY1_US_bilateral_trade,2023,8.6687,2.252,6.4167,UN Comtrade DAY1 2023,2026-03-14 10:28:49,
BWA,DAY1_US_bilateral_trade,2023,0.5012,0.0683,0.4329,UN Comtrade DAY1 2023,2026-03-14 10:28:53,
SRB,DAY1_US_bilateral_trade,2023,0.8699,0.2894,0.5805,UN Comtrade DAY1 2023,2026-03-14 10:28:57,
THA,DAY1_US_bilateral_trade,2023,58.6849,15.6532,43.0317,UN Comtrade DAY1 2023,2026-03-14 10:29:02,
HND,DAY1_US_bilateral_trade,2023,5.8383,6.7937,-0.9554,UN Comtrade DAY1 2023,2026-03-14 10:29:06,
CHN,DAY1_US_bilateral_trade,2023,448.0174,147.8055,300.2119,UN Comtrade DAY1 2023,2026-03-14 10:29:10,
TWN,DAY1_US_bilateral_trade,2023,89.9189,39.7735,50.1454,UN Comtrade DAY1 2023,2026-03-14 10:29:16,
IDN,DAY1_US_bilateral_trade,2023,28.1012,9.9432,18.158,UN Comtrade DAY1 2023,2026-03-14 10:29:20,
