iso3,F3_BRI,F3_RCEP,F3_ChinaDep,F3_TiVA
CAN,0,0,,
MEX,0,0,,
BRA,0,0,,
ARG,1,0,,
COL,0,0,,
CHL,1,0,,
PER,1,0,,
ECU,1,0,,
BOL,1,0,,
PRY,1,0,,
VEN,1,0,,
GTM,1,0,,
HND,0,0,,
SLV,0,0,,
CRI,1,0,,
PAN,1,0,,
DOM,1,0,,
TTO,1,0,,
JAM,1,0,,
GUY,0,0,,
NIC,1,0,,
DEU,0,0,,
FRA,0,0,,
ITA,1,0,,
ESP,0,0,,
NLD,0,0,,
BEL,0,0,,
POL,0,0,,
SWE,0,0,,
AUT,0,0,,
CHE,0,0,,
NOR,0,0,,
DNK,0,0,,
FIN,0,0,,
IRL,0,0,,
PRT,1,0,,
GRC,1,0,,
CZE,0,0,,
HUN,1,0,,
ROU,0,0,,
SVK,0,0,,
BGR,0,0,,
HRV,0,0,,
SRB,1,0,,
MDA,1,0,,
UKR,1,0,,
GBR,0,0,,
TUR,1,0,,
ISR,0,0,,
SAU,1,0,,
ARE,1,0,,
KWT,1,0,,
QAT,1,0,,
OMN,1,0,,
BHR,1,0,,
JOR,1,0,,
IRQ,1,0,,
EGY,1,0,,
DZA,1,0,,
MAR,1,0,,
TUN,1,0,,
LBY,1,0,,
CHN,1,1,,
JPN,0,1,,
KOR,0,1,,
TWN,0,0,,
HKG,0,0,,
SGP,1,1,,
VNM,1,1,,
THA,1,1,,
MYS,1,1,,
IDN,1,1,,
PHL,1,1,,
IND,0,0,,
BGD,1,0,,
PAK,1,0,,
LKA,1,0,,
MMR,1,1,,
KHM,1,1,,
LAO,1,1,,
KAZ,1,0,,
AUS,1,1,,
NZL,1,1,,
ZAF,1,0,,
NGA,1,0,,
AGO,1,0,,
CMR,1,0,,
CIV,1,0,,
COD,1,0,,
ETH,1,0,,
TZA,1,0,,
MOZ,1,0,,
NAM,1,0,,
BWA,1,0,,
ZWE,1,0,,
MWI,1,0,,
MUS,0,0,,
MDG,1,0,,
LSO,0,0,,
RWA,1,0,,
ZMB,1,0,,
KEN,1,0,,
GHA,1,0,,
SEN,1,0,,
