iso3,f4_retaliate,method_note
ARG,1,gta_interventions_implementer_vs_us_tariff_rule
AUT,1,gta_interventions_implementer_vs_us_tariff_rule
BEL,1,gta_interventions_implementer_vs_us_tariff_rule
BGD,1,gta_interventions_implementer_vs_us_tariff_rule
BGR,1,gta_interventions_implementer_vs_us_tariff_rule
CHE,1,gta_interventions_implementer_vs_us_tariff_rule
CHN,1,gta_interventions_implementer_vs_us_tariff_rule
DEU,1,gta_interventions_implementer_vs_us_tariff_rule
DNK,1,gta_interventions_implementer_vs_us_tariff_rule
ECU,1,gta_interventions_implementer_vs_us_tariff_rule
ESP,1,gta_interventions_implementer_vs_us_tariff_rule
FIN,1,gta_interventions_implementer_vs_us_tariff_rule
FRA,1,gta_interventions_implementer_vs_us_tariff_rule
GBR,1,gta_interventions_implementer_vs_us_tariff_rule
GRC,1,gta_interventions_implementer_vs_us_tariff_rule
GTM,1,gta_interventions_implementer_vs_us_tariff_rule
HRV,1,gta_interventions_implementer_vs_us_tariff_rule
HUN,1,gta_interventions_implementer_vs_us_tariff_rule
IDN,1,gta_interventions_implementer_vs_us_tariff_rule
IND,1,gta_interventions_implementer_vs_us_tariff_rule
IRL,1,gta_interventions_implementer_vs_us_tariff_rule
ITA,1,gta_interventions_implementer_vs_us_tariff_rule
JPN,1,gta_interventions_implementer_vs_us_tariff_rule
KHM,1,gta_interventions_implementer_vs_us_tariff_rule
LTU,1,gta_interventions_implementer_vs_us_tariff_rule
LUX,1,gta_interventions_implementer_vs_us_tariff_rule
MLT,1,gta_interventions_implementer_vs_us_tariff_rule
MYS,1,gta_interventions_implementer_vs_us_tariff_rule
NLD,1,gta_interventions_implementer_vs_us_tariff_rule
PHL,1,gta_interventions_implementer_vs_us_tariff_rule
POL,1,gta_interventions_implementer_vs_us_tariff_rule
PRT,1,gta_interventions_implementer_vs_us_tariff_rule
ROU,1,gta_interventions_implementer_vs_us_tariff_rule
SLV,1,gta_interventions_implementer_vs_us_tariff_rule
SVK,1,gta_interventions_implementer_vs_us_tariff_rule
SVN,1,gta_interventions_implementer_vs_us_tariff_rule
SWE,1,gta_interventions_implementer_vs_us_tariff_rule
THA,1,gta_interventions_implementer_vs_us_tariff_rule
VNM,1,gta_interventions_implementer_vs_us_tariff_rule
