country,iso3,initial_rate,revised_rate,final_rate,y_extra_tariff,source_note
Afghanistan 阿富汗,AFG,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Albania 阿尔巴尼亚,ALB,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Algeria 阿尔及利亚,DZA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Angola 安哥拉,AGO,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Argentina 阿根廷,ARG,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Armenia 亚美尼亚,ARM,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Australia 澳大利亚,AUS,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Austria 奥地利,AUT,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Azerbaijan 阿塞拜疆,AZE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Bangladesh 孟加拉国,BGD,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Belarus 白俄罗斯,BLR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Belgium 比利时,BEL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Bolivia 玻利维亚,BOL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Brazil 巴西,BRA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Bulgaria 保加利亚,BGR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Cambodia 柬埔寨,KHM,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Canada 加拿大,CAN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Chile 智利,CHL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
China 中国,CHN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Colombia 哥伦比亚,COL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
DR Congo 刚果民主共和国,COD,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Costa Rica 哥斯达黎加,CRI,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
